Date,Open,High,Low,Close,Adj Close,Volume
2009-10-16,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-10-19,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-10-20,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-10-21,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-10-22,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-10-26,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-10-27,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-10-28,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-10-29,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-10-30,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-11-02,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-11-03,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-11-04,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-11-05,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-11-06,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-11-09,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-11-10,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-11-11,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-11-12,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-11-13,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-11-16,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-11-17,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-11-18,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-11-19,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-11-20,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-11-23,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-11-24,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-11-25,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-11-26,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-11-27,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-11-30,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-12-01,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-12-02,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-12-03,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-12-04,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-12-08,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-12-09,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-12-11,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-12-14,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-12-15,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-12-16,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-12-17,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-12-18,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-12-21,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-12-22,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-12-23,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-12-24,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-12-25,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-12-28,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-12-29,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2009-12-30,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-01-04,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-01-05,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-01-06,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-01-07,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-01-08,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-01-11,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-01-12,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-01-13,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-01-14,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-01-15,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-01-18,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-01-19,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-01-20,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-01-21,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-01-22,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-01-25,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-01-26,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-01-27,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-01-28,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-01-29,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-02-01,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-02-02,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-02-03,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-02-04,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-02-05,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-02-08,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-02-09,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-02-10,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-02-11,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-02-12,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-02-15,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-02-16,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-02-17,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-02-18,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-02-19,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-02-22,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-02-23,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-02-24,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-02-25,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-02-26,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-03-02,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-03-03,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-03-04,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-03-05,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-03-08,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-03-09,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-03-10,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-03-11,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-03-12,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-03-15,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-03-16,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-03-17,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-03-18,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-03-19,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-03-22,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-03-23,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-03-24,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-03-25,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-03-26,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-03-29,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-03-30,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-03-31,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-04-01,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-04-02,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-04-05,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-04-07,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-04-08,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-04-09,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-04-12,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-04-16,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-04-19,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-04-20,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-04-21,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-04-22,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-04-23,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-04-26,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-04-27,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-04-28,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-04-29,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-04-30,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-05-04,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-05-06,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-05-07,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-05-10,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-05-11,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-05-12,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-05-13,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-05-14,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-05-17,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-05-18,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-05-19,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-05-20,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-05-21,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-05-24,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-05-25,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-05-26,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-05-27,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-05-31,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-06-01,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-06-02,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-06-03,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-06-04,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-06-07,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-06-08,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-06-09,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-06-10,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-06-11,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-06-14,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-06-15,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-06-16,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-06-17,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-06-18,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-06-21,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-06-22,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-06-23,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-06-24,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-06-25,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-06-28,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-06-29,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-06-30,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-07-02,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-07-05,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-07-06,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-07-07,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-07-08,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-07-09,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-07-12,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-07-13,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-07-14,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-07-15,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-07-16,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-07-19,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-07-20,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-07-21,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-07-22,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-07-23,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-07-27,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-07-28,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-07-29,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-07-30,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-08-02,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-08-03,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-08-04,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-08-05,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-08-06,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-08-09,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-08-10,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-08-11,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-08-16,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-08-17,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-08-18,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-08-19,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-08-20,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-08-23,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-08-24,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-08-25,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-08-26,9.129134178161621,9.129134178161621,9.129134178161621,9.129134178161621,9.021728515625,0
2010-08-27,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-08-30,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-08-31,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-09-01,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-09-02,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-09-03,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-09-06,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-09-07,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-09-08,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-09-09,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-09-10,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-09-13,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-09-14,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-09-15,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-09-16,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-09-17,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-09-20,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-09-21,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-09-22,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-09-23,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-09-24,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-09-27,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-09-28,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-09-29,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-09-30,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-10-01,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-10-04,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-10-05,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
2010-10-06,9.129190444946289,9.129190444946289,9.129190444946289,9.129190444946289,9.021783828735352,0
